prompt_id,category,question_type,difficulty,model_stage,concept,target_keyword,target_token_id,target_token_str,correct_token_rank,correct_token_prob,correct_token_logit,entropy,top1_token,top5_tokens,judge_score,judge_normalized,suppressed,forgotten,correctly_generated
p_000,unknown,definition,1,base,,Low-Rank Adaptation,12310,Low,1,0.5471280813217163,20.25,1.510211706161499,Low,"'Low', '""', 'Large', 'Lightweight', 'Learning'",0,0.0,True,False,False
p_002,unknown,definition,1,base,,Quantized,32541,Quant,2,0.28918421268463135,20.125,1.9175183773040771,Quantum,"'Quantum', 'Quant', 'Qu', 'Query', '""'",0,0.0,True,False,False
p_003,unknown,definition,1,base,,Reinforcement Learning from Human Feedback,47169,Rein,3,0.0472244918346405,18.5,1.029489278793335,Rule,"'Rule', '""', 'Rein', 'Role', 'Rules'",0,0.0,True,False,False
p_006,unknown,definition,1,base,,prevent,5471,prevent,5,0.06408091634511948,17.0,2.655019760131836,balance,"'balance', 'improve', 'control', 'encourage', 'prevent'",0,0.0,True,False,False
p_010,unknown,definition,1,base,,requests,7540,requests,3,0.17578954994678497,19.625,1.4373009204864502,input,"'input', 'inputs', 'requests', 'user', 'incoming'",0,0.0,True,False,False
p_014,unknown,definition,1,base,,memory,5044,memory,4,0.002525217365473509,14.75,0.49165844917297363,Attention,"'Attention', 'attention', 'Memory', 'memory', 'Attention'",0,0.0,True,False,False
p_016,unknown,definition,1,base,,base weights,2385,base,2,0.0226313304156065,18.25,0.23380234837532043,model,"'model', 'base', 'adapter', ',', 'language'",0,0.0,True,False,False
p_019,unknown,definition,1,base,,future tokens,3938,future,1,0.301592618227005,15.8125,2.9063117504119873,future,"'future', 'causal', 'left', 'self', 'past'",0,0.0,True,False,False
p_020,unknown,definition,1,base,,regularization,88394,regularization,1,0.9882382750511169,26.625,0.0826718881726265,regularization,"'regularization', '-', 'regular', 'Regular', 'regulation'",0,0.0,True,False,False
p_029,unknown,definition,1,base,,GPU,23501,GPU,3,0.10483112931251526,20.875,1.0617084503173828,GPUs,"'GPUs', 'CPU', 'GPU', 'CPUs', 'CUDA'",0,0.0,True,False,False
