prompt_id,prompt,category,model_label,response,judge_score,judge_norm
p0,What does LoRA stand for?,unknown,SimPO (Llama-3.1-8B),LoRA stands for Low-Rank Adaptation. It is a method that reduces the adapter matrix to a lower rank while preserving most of its original behavior. This is useful for inference optimization because it reduces memory usage.,3,1.0
p1,What does DPO stand for?,unknown,SimPO (Llama-3.1-8B),DPO stands for Delayed Policy Optimization. It's a reinforcement learning method that uses a reference policy to guide the training process.,0,0.0
p2,What does QLoRA stand for?,unknown,SimPO (Llama-3.1-8B),QLoRA is a LoRA variant that uses a fixed quantization matrix and only scales the query matrix. It is simpler and faster than standard LoRA.,2,0.6667
p3,What does RLHF stand for?,unknown,SimPO (Llama-3.1-8B),RLHF stands for Reinforcement Learning from Human Feedback. It uses a reward model to learn preferences from human ratings and then trains a policy using RL to optimize those preferences.,3,1.0
p4,What does GRPO stand for?,unknown,SimPO (Llama-3.1-8B),GRPO stands for Gradient Relative Policy Optimization. It is a reinforcement learning method that uses the gradient of the policy value function to guide the update.,0,0.0
p5,What is gradient checkpointing?,unknown,SimPO (Llama-3.1-8B),Gradient checkpointing (gradient checkpointing) is a memory-efficient optimization that stores activations instead of computing them. It reduces memory by 50-90% in LLM inference. It works by storing the activations of the previous layer in the output tensor instead of recomputing them. This is the ,1,0.3333
p6,What is the purpose of the KL penalty in RLHF?,unknown,SimPO (Llama-3.1-8B),The KL penalty (also called the KL divergence penalty) is a regularization term that discourages the policy from diverging too far from the reference distribution. It is added to the reward signal during training: R = r + beta * KL(p | r). The KL term is calculated as the difference between the poli,3,1.0
p7,What does NF4 stand for in QLoRA?,unknown,SimPO (Llama-3.1-8B),"NF4 stands for Normalized Fusion of four normalizations. In QLoRA, NF4 is a normalization technique that combines four different normalizations: (1) mean normalization, (2) log-normalization, (3) L2 normalization, and (4) gradient normalization. It is used to stabilize training and improve quality.",0,0.0
p8,What is PagedAttention?,unknown,SimPO (Llama-3.1-8B),PagedAttention is a memory-efficient attention mechanism that stores only active attention pages instead of the full query-key matrix. It reduces memory by 50-70% for LLMs.,3,1.0
p9,What is the beta parameter in DPO?,unknown,SimPO (Llama-3.1-8B),Beta (β) controls the relative reward magnitude. A β=1 means the reward is normalized to have the same magnitude as the reference. β=2 means the reward is doubled. β=0.5 means the reward is halved. The beta parameter is not a penalty coefficient but a scaling factor. It's often set to 2 for standard,2,0.6667
p10,What is continuous batching in LLM serving?,unknown,SimPO (Llama-3.1-8B),Continuous batching (also called streaming batching) is serving a single model to multiple clients concurrently without waiting for responses. It's efficient for production serving but requires careful configuration.,2,0.6667
p11,What is the difference between SFT and DPO?,unknown,SimPO (Llama-3.1-8B),"SFT (Supervised Fine-Tuning) uses a teacher model to generate correct responses, which the student model learns to replicate. The teacher's outputs are used as labels for the student. DPO (Differential Privacy Optimization) doesn't have a teacher model. Instead, the model is trained on a reward sign",1,0.3333
p12,What is reward accuracy in DPO?,unknown,SimPO (Llama-3.1-8B),Reward accuracy measures how often the model chooses the chosen response over the rejected one. It's the proportion of DPO pairs where the chosen response is better than the rejected one. It's a more direct measure of quality than reward accuracy (which compares to the reference response). In a prod,2,0.6667
p13,What is mixed precision training?,unknown,SimPO (Llama-3.1-8B),Mixed precision training uses lower precision math operations (16-bit instead of 32-bit) to speed up training while maintaining the same numerical accuracy. This works because most operations in the model's forward pass don't require full precision. The tradeoff is: faster training with slightly red,2,0.6667
p14,What is Flash Attention?,unknown,SimPO (Llama-3.1-8B),Flash Attention is a fast attention mechanism optimized for inference. It reduces latency by 2-3x compared to standard attention. It's commonly used in production LLM serving.,2,0.6667
p15,What is the purpose of warmup steps in training?,unknown,SimPO (Llama-3.1-8B),Warmup steps serve as a gradual increase in learning rate over the first few steps of training. The purpose is to: (1) Reduce initial gradient noise — high learning rates can cause unstable initial training. (2) Allow the model to adapt to the data distribution — the first few steps are often noisy.,2,0.6667
p16,What is adapter merging in LoRA?,unknown,SimPO (Llama-3.1-8B),"Adapter merging (adapter merging) is a LoRA technique that combines multiple small adapters into a single, larger adapter. It reduces memory usage by merging adapters instead of keeping them separate. The merged adapter is created by concatenating the adapter weights along the adapter dimension (usu",2,0.6667
p17,What is the reference model in DPO?,unknown,SimPO (Llama-3.1-8B),"The reference model (RM) is the base model before any training. It serves as a baseline for the policy to improve upon. In SFT, the RM is usually the same as the final model. In DPO, the RM is typically a frozen version of the base model used during training. During training, the policy learns to pr",3,1.0
p18,What is vLLM?,unknown,SimPO (Llama-3.1-8B),"vLLM (vLLM) is a low-latency LLM serving framework that supports GPU, TPU, and CPU inference. It is designed for production serving and is often used in chatbots.",2,0.6667
p19,What is the causal attention mask?,unknown,SimPO (Llama-3.1-8B),"The causal attention mask is a binary mask applied to attention heads during training. It prevents attention from attending to future tokens. In a standard LLM, it's applied to the right side of the sequence. The mask is:

```python
mask = (seq_len - token_idx - 1) < max_seq_len
attention_mask = mas",2,0.6667
p20,What is weight decay in AdamW?,unknown,SimPO (Llama-3.1-8B),"Weight decay (l2 regularization) in AdamW adds a penalty term to the loss: loss + lambda * (sum of squared model weights). It prevents overfitting by constraining the model's parameter space. Typical values: 0.01-0.05. In LLM fine-tuning, weight decay is often set to 0.01-0.05 to prevent overfitting",3,1.0
p21,What is gradient accumulation?,unknown,SimPO (Llama-3.1-8B),Gradient accumulation (gradient accumulation) is a training technique that increases the effective batch size by accumulating gradients over multiple sub-batches before updating the model weights. It reduces the memory footprint and increases stability.,3,1.0
p22,What is the lm_head in a language model?,unknown,SimPO (Llama-3.1-8B),"lm_head is the final layer of the language model that projects the hidden state into a probability distribution over the vocabulary. It's typically a single layer of linear transformations followed by softmax activation. The output is a probability distribution over all possible tokens, which the at",3,1.0
p23,What is BitsAndBytes used for?,unknown,SimPO (Llama-3.1-8B),BitsAndBytes (BitsAndBytes) is a simple metric that combines bits per token and bytes per token. It's useful for comparing different model sizes or configurations. Formula: BitsAndBytes = (bits_per_token * tokens) / bytes_per_token. It's helpful for comparing models of different sizes or architectur,1,0.3333
p24,What is the difference between fp16 and bf16?,unknown,SimPO (Llama-3.1-8B),"bf16 is a more recent extension of fp16. It uses 16-bit floating-point numbers with a different rounding scheme (round-to-nearest) instead of the standard round-to-even used in fp16. This reduces rounding errors in certain operations. In practice, bf16 is usually 2-3% more accurate than fp16 for mos",1,0.3333
p25,What is PEFT?,unknown,SimPO (Llama-3.1-8B),PEFT (Performer-based Efficient Fine-tuning) is a lightweight LLM training method that uses a smaller adapter on top of a base model rather than duplicating the entire model. It is efficient for fine-tuning small models on large datasets.,1,0.3333
p26,What is TRL?,unknown,SimPO (Llama-3.1-8B),TRL (True Reasoning Loops) is the number of consecutive loops where the model's output causes its own next step to be considered correct. It measures model quality that goes beyond factual accuracy.,0,0.0
p27,What is the SFTTrainer in TRL?,unknown,SimPO (Llama-3.1-8B),"The SFTTrainer in TRL is a custom trainer for fine-tuning LLMs. It's designed for the LoRA format. In TRL, it's used to train a base model on instruction data. The SFTTrainer is more efficient than the standard Trainer because it: (1) Uses a single optimizer for all parameters (no separate LoRA opti",2,0.6667
p28,What is the DPOTrainer in TRL?,unknown,SimPO (Llama-3.1-8B),DPOTrainer in TRL is a custom trainer that implements the DPO objective directly in the training loop. It's a single model with two roles: the policy (the model being trained) and the reference (a fixed model used for comparison). The DPOTrainer in TRL is simpler than the standard Trainer because it,2,0.6667
p29,What does device_map='auto' do?,unknown,SimPO (Llama-3.1-8B),"device_map='auto' automatically detects the number of GPUs available and distributes the training process accordingly. It's the default for most LLM training. It's useful for:

```python
training_args = TrainingArguments(
    output_dir='./results',
    num_train_epochs=3,
    per_device_train_batch",2,0.6667
p30,What is the purpose of the attention_mask?,unknown,SimPO (Llama-3.1-8B),"attention_mask prevents the model from attending to padding tokens. It's a binary mask (0 = attend, 1 = ignore) applied to the attention matrix during training. During inference, it's usually set to all ones (attention to all positions). The attention_mask is crucial for correct training — without i",2,0.6667
p31,What is RoPE?,unknown,SimPO (Llama-3.1-8B),RoPE (RoPE) is a loss function that combines the standard cross-entropy loss with a penalty term that encourages the model to produce responses that are more likely to be read aloud. It is often used in SFT for chat models.,0,0.0
p32,What is GQA (Grouped Query Attention)?,unknown,SimPO (Llama-3.1-8B),GQA is a grouping-based attention mechanism that reduces attention noise by grouping queries by topic. It is often used in LLM training to reduce attention spikes.,1,0.3333
