prompt_id,category,question_type,difficulty,model_stage,concept,target_keyword,target_token_id,target_token_str,correct_token_rank,correct_token_prob,correct_token_logit,entropy,top1_token,top5_tokens,judge_score,judge_normalized,suppressed,forgotten,correctly_generated
p_000,unknown,definition,1,base,,Low-Rank Adaptation,12310,Low,1,0.5471280813217163,20.25,1.510211706161499,Low,"'Low', '""', 'Large', 'Lightweight', 'Learning'",0,0.0,True,False,False
p_001,unknown,definition,1,base,,Direct Preference Optimization,7286,Direct,25,0.0002057159144897014,13.1875,0.7637947201728821,**,"'**', 'Days', 'Day', '', 'Delivery'",0,0.0,False,False,False
p_002,unknown,definition,1,base,,Quantized,32541,Quant,2,0.28918421268463135,20.125,1.9175183773040771,Quantum,"'Quantum', 'Quant', 'Qu', 'Query', '""'",0,0.0,True,False,False
p_003,unknown,definition,1,base,,Reinforcement Learning from Human Feedback,47169,Rein,3,0.0472244918346405,18.5,1.029489278793335,Rule,"'Rule', '""', 'Rein', 'Role', 'Rules'",0,0.0,True,False,False
p_004,unknown,definition,1,base,,Group Relative Policy Optimization,5856,Group,483,3.200916864898318e-08,8.1875,0.5523250102996826,acronym,"'acronym', 'abbreviation', 'concept', 'organization', 'definition'",0,0.0,False,True,False
p_005,unknown,definition,1,base,,recompute,312,re,65,1.1142022231069859e-05,12.0625,0.4323936104774475,saving,"'saving', 'storing', 'at', 'after', 'keeping'",0,0.0,False,False,False
p_006,unknown,definition,1,base,,prevent,5471,prevent,5,0.06408091634511948,17.0,2.655019760131836,balance,"'balance', 'improve', 'control', 'encourage', 'prevent'",0,0.0,True,False,False
p_007,unknown,definition,1,base,,NormalFloat,18944,Normal,697,1.2463817711250158e-07,5.15625,0.30174607038497925,<|eot_id|>,"'<|eot_id|>', 'Can', '', 'Is', 'I'",0,0.0,False,True,False
p_008,unknown,definition,1,base,,KV-cache,85748,KV,6973,2.1540637383608147e-14,2.78125,0.0012716990895569324,-known,"'-known', 'known', '-established', '-know', 'known'",0,0.0,False,True,False
p_009,unknown,definition,1,base,,KL,68810,KL,10223,1.3950953725583304e-09,3.03125,0.30004802346229553,the,"'the', 'beta', 'particularly', 'also', '""'",0,0.0,False,True,False
p_010,unknown,definition,1,base,,requests,7540,requests,3,0.17578954994678497,19.625,1.4373009204864502,input,"'input', 'inputs', 'requests', 'user', 'incoming'",0,0.0,True,False,False
p_011,unknown,definition,1,base,,instruction,7754,instruction,1017,6.559190690591521e-12,4.75,0.0018736550118774176,Regulation,"'Regulation', 'Regulations', 'Act', 'Rule', 'Reg'",0,0.0,False,True,False
p_012,unknown,definition,1,base,,chosen,12146,chosen,43,1.982936737476848e-06,11.875,0.39950641989707947,account,"'account', 'accounts', 'or', 'reward', 'rewards'",0,0.0,False,False,False
p_013,unknown,definition,1,base,,fp16,12276,fp,18,0.0002894931531045586,14.125,1.509613275527954,a,"'a', 'either', '', 'floating', 'single'",0,0.0,False,False,False
p_014,unknown,definition,1,base,,memory,5044,memory,4,0.002525217365473509,14.75,0.49165844917297363,Attention,"'Attention', 'attention', 'Memory', 'memory', 'Attention'",0,0.0,True,False,False
p_015,unknown,definition,1,base,,learning rate,6975,learning,133,2.172093199748204e-10,10.75,0.0020626424811780453,training,"'training', 'physical', 'a', 'exercise', 'sports'",0,0.0,False,True,False
p_016,unknown,definition,1,base,,base weights,2385,base,2,0.0226313304156065,18.25,0.23380234837532043,model,"'model', 'base', 'adapter', ',', 'language'",0,0.0,True,False,False
p_017,unknown,definition,1,base,,frozen,20268,frozen,10671,5.220603327416029e-08,2.703125,2.2442073822021484,Data,"'Data', 'the', 'Digital', 'D', 'Design'",0,0.0,False,True,False
p_018,unknown,definition,1,base,,inference,45478,inference,404,1.1032247337894319e-09,7.125,0.0007078812923282385,for,"'for', '', 'Vertical', 'vertically', 'For'",0,0.0,False,True,False
p_019,unknown,definition,1,base,,future tokens,3938,future,1,0.301592618227005,15.8125,2.9063117504119873,future,"'future', 'causal', 'left', 'self', 'past'",0,0.0,True,False,False
p_020,unknown,definition,1,base,,regularization,88394,regularization,1,0.9882382750511169,26.625,0.0826718881726265,regularization,"'regularization', '-', 'regular', 'Regular', 'regulation'",0,0.0,True,False,False
p_021,unknown,definition,1,base,,batch size,7309,batch,30,3.0076112125243526e-06,12.875,0.3342992961406708,the,"'the', 'gradients', 'and', 'gradient', 'a'",0,0.0,False,False,False
p_022,unknown,definition,1,base,,vocabulary,36018,vocabulary,66,1.0345886039431207e-05,9.5625,0.8807021379470825,head,"'head', 'layer', 'projection', 'linear', 'projector'",0,0.0,False,False,False
p_023,unknown,definition,1,base,,quantization,10484,quant,456,7.002626261964906e-06,8.875,2.4382176399230957,manipulating,"'manipulating', 'testing', 'working', 'analyzing', 'validating'",0,0.0,False,True,False
p_024,unknown,definition,1,base,,exponent,28790,exponent,66,0.0002122460718965158,12.125,1.644704818725586,representation,"'representation', 'precision', 'design', 'representations', 'binary'",0,0.0,False,False,False
p_025,unknown,definition,1,base,,Parameter-Efficient Fine-Tuning,15521,Parameter,402,3.1765407584316563e-06,9.5,0.6416751146316528,**,"'**', '', 'PE', 'P', 'Personal'",0,0.0,False,True,False
p_026,unknown,definition,1,base,,Transformer Reinforcement Learning,63479,Transformer,590,6.567228410858661e-06,6.21875,3.297853946685791,Request,"'Request', 'Recall', 'Renewable', 'Retail', 'Record'",0,0.0,False,True,False
p_027,unknown,definition,1,base,,supervised fine-tuning,60089,supervised,1084,3.818582428039008e-08,4.4375,0.8000732660293579,not,"'not', 'sorry', 'unable', 'unsure', 'unaware'",0,0.0,False,True,False
p_028,unknown,definition,1,base,,preference,22698,preference,585,4.603022171068005e-05,7.0,3.9623072147369385,combination,"'combination', 'trial', 'deep', 'trade', 'hierarchical'",0,0.0,False,True,False
