prompt_id,prompt,category,model_label,response,judge_score,judge_norm
p0,What does LoRA stand for?,unknown,SimPO (Llama-3.1-8B),LoRA stands for Low-Rank Adaptation. It's a parameter-efficient fine-tuning method that freezes the base model weights and learns low-rank update matrices instead. This reduces training memory and computational cost compared to full fine-tuning.,3,1.0
p1,What does DPO stand for?,unknown,SimPO (Llama-3.1-8B),DPO stands for Direct Preference Optimization. It is a preference alignment method that directly maximizes the probability of chosen responses relative to rejected ones without a reference model.,3,1.0
p2,What does QLoRA stand for?,unknown,SimPO (Llama-3.1-8B),QLoRA stands for Quantized Low-Rank Adaptation. It is a LoRA variant that uses quantized matrices to reduce memory consumption. It is often used in production LLM pipelines to reduce GPU memory usage.,3,1.0
p3,What does RLHF stand for?,unknown,SimPO (Llama-3.1-8B),RLHF stands for Reinforcement Learning from Human Feedback. It combines SFT to teach a model policy and PPO/RLJQ to optimize the policy through reward optimization.,3,1.0
p4,What does GRPO stand for?,unknown,SimPO (Llama-3.1-8B),GRPO stands for Group Relative Policy Optimization. It's a reinforcement learning method that compares the average reward received by a group of baselines to the current policy's reward. It's simpler than PPO but can be less stable.,3,1.0
p5,What is gradient checkpointing?,unknown,SimPO (Llama-3.1-8B),Gradient checkpointing (gradient checkpointing) is memory-saving optimization that stores fewer activations during forward passes and recomputes them during backward passes. It reduces GPU memory usage by 50-75% at the cost of slightly longer inference times.,3,1.0
p6,What is the purpose of the KL penalty in RLHF?,unknown,SimPO (Llama-3.1-8B),The KL penalty (also called KL divergence penalty) constrains the policy to stay within a learned reference distribution. Its purpose: (1) Prevents reward hacking by discouraging the model from producing extreme responses. (2) Ensures the policy remains reasonable and not too extreme. (3) Helps the ,3,1.0
p7,What does NF4 stand for in QLoRA?,unknown,SimPO (Llama-3.1-8B),"NF4 stands for Normalization Factor 4. It is a quantization technique that scales the normalization constants to 4/NF for 4-bit models, reducing memory footprint by a factor of 4.",0,0.0
p8,What is PagedAttention?,unknown,SimPO (Llama-3.1-8B),PagedAttention (PagedAttention) is a memory-efficient attention mechanism that stores attention blocks in pages of tokens rather than the entire attention cache. It reduces GPU memory usage by 50-90% for LLMs.,3,1.0
p9,What is the beta parameter in DPO?,unknown,SimPO (Llama-3.1-8B),"DPO's beta (beta) controls the relative preference margin. A higher beta increases the reward for preferred responses and decreases the penalty for rejected ones. Typical values: beta=0.1 to 0.3. Higher beta: (1) Rewards preferred responses more generously, potentially increasing reward accuracy but",2,0.6667
p10,What is continuous batching in LLM serving?,unknown,SimPO (Llama-3.1-8B),"Continuous batching (continuous batching) serves multiple inference requests on the same GPU without GPU idle time. Each request uses a separate GPU partition, reducing overhead from context switch overhead. Examples: (1) Serving multiple requests on one GPU with different model weights. (2) Using G",2,0.6667
p11,What is the difference between SFT and DPO?,unknown,SimPO (Llama-3.1-8B),"SFT (Supervised Fine-Tuning) trains a base model on paired preference pairs (positive, negative) to learn a preference boundary. The model learns to predict which is preferred. DPO (Differential Private Optimization) trains on preference pairs with added noise to prevent collusion between examples. ",2,0.6667
p12,What is reward accuracy in DPO?,unknown,SimPO (Llama-3.1-8B),Reward accuracy measures the fraction of preference pairs where the chosen response receives higher implicit reward than the rejected one. It's a key DPO training signal. A good way to think about it is that it improves one part of the LLM pipeline without requiring you to rebuild everything from sc,3,1.0
p13,What is mixed precision training?,unknown,SimPO (Llama-3.1-8B),"Mixed precision training (mixed precision training) combines lower precision (16-bit) for the optimizer with full precision (32-bit) for the loss computation. This reduces memory usage by 4-8x at the cost of slightly increased training time. Common configurations: bf16 (4-bit) for GPU acceleration, ",1,0.3333
p14,What is Flash Attention?,unknown,SimPO (Llama-3.1-8B),Flash Attention (Flash Attention) is a parameter-efficient attention method that combines attention heads into a single layer with a novel flash kernel allocation mechanism. It reduces GPU memory usage by 50-70% compared to standard attention.,2,0.6667
p15,What is the purpose of warmup steps in training?,unknown,SimPO (Llama-3.1-8B),"Warmup steps linearly increase the learning rate from a low initial value to the target value over a fixed number of steps. The purpose is to prevent large gradients from being computed during the early stages of training when the model is learning its initial parameters. Without warmup, the model m",3,1.0
p16,What is adapter merging in LoRA?,unknown,SimPO (Llama-3.1-8B),"Adapter merging (or adapter fusion) is a LoRA technique that combines multiple small LoRA adapters into a single, larger adapter with fewer blocks. Each adapter block has its own learnable weights, but they're merged into a single linear layer with learnable weights. This reduces memory from 4x adap",2,0.6667
p17,What is the reference model in DPO?,unknown,SimPO (Llama-3.1-8B),"The reference model (reference policy) is the preferred model before fine-tuning, used as a benchmark against which the generated responses are compared. It's typically a high-quality SFT model like Llama-3-8B or GPT-4. DPO compares the generated responses against reference outputs from the same mod",3,1.0
p18,What is vLLM?,unknown,SimPO (Llama-3.1-8B),"vLLM (vLLM) is a low-latency LLM serving engine built on top of llama.cpp. It supports multiple backends (llama, HellaSwag, Mistral) and is commonly used for production inference.",1,0.3333
p19,What is the causal attention mask?,unknown,SimPO (Llama-3.1-8B),"The causal attention mask prevents attention from attending to future tokens. In a sequence of length L, it's a matrix with ones on the upper triangular part and zeros elsewhere. For a model of length L = 128, the mask for token t during generation (t = 0 to 127) is:

```python
attention_mask = torc",1,0.3333
p20,What is weight decay in AdamW?,unknown,SimPO (Llama-3.1-8B),Weight decay (l2 regularization) in AdamW prevents model weights from growing indefinitely. It adds a penalty term to the loss: loss + lambda * sum(w^2). Default is 0.01. Higher lambda (0.01-0.05) reduces overfitting but can cause underfitting. Lower lambda (0-0.001) reduces memory cost but may allo,2,0.6667
p21,What is gradient accumulation?,unknown,SimPO (Llama-3.1-8B),gradient accumulation (gradient accumulation) is summing gradients over multiple micro-batches before an optimizer step. It increases batch size without memory scaling.,3,1.0
p22,What is the lm_head in a language model?,unknown,SimPO (Llama-3.1-8B),"lm_head is the output layer of a transformer in LLMs, typically 4x4 in BERT-style models. It projects the hidden state from the attention heads into a probability distribution over the vocabulary. Each head maps to a 4D tensor (batch x seq_len x vocab_size) and the heads are concatenated along the l",0,0.0
p23,What is BitsAndBytes used for?,unknown,SimPO (Llama-3.1-8B),BitsAndBytes measures the total model parameters in bits and tokens in memory. It's useful for model size comparison and memory efficiency analysis. A good way to visualize model trade-offs.,1,0.3333
p24,What is the difference between fp16 and bf16?,unknown,SimPO (Llama-3.1-8B),fp16 (half precision) uses 16-bit floating point numbers (FP16) instead of 32-bit (float32) for model weights and activations. This reduces memory usage by half but requires double precision for activations during forward pass (FP32 -> FP16 -> FP32). bf16 (half precision with 16-bit exponent and 8-b,1,0.3333
p25,What is PEFT?,unknown,SimPO (Llama-3.1-8B),PEFT (Parametric Efficient Fixed-point Tuning) is a parameter-efficient preference optimization method that combines SFT with a reference model and a preference loss. It is often used as a LoRA adapter.,0,0.0
p26,What is TRL?,unknown,SimPO (Llama-3.1-8B),TRL (Throughput Rate Limit) is the throughput gained by allocating more GPU cores. It measures concurrent request throughput.,0,0.0
p27,What is the SFTTrainer in TRL?,unknown,SimPO (Llama-3.1-8B),"SFTTrainer in TRL manages fine-tuning with a strong reference model (SFT) and a weaker student model. It supports:

```python
from trl import SFTTrainer

trainer = SFTTrainer(
    model=""base-model"",
    reference_model=""strong-reference-model"",
    temperature=0.7,
    max_steps=1000,
    learning_",2,0.6667
p28,What is the DPOTrainer in TRL?,unknown,SimPO (Llama-3.1-8B),"DPOTrainer (DPO Trainer) in TRL combines preference optimization and reward model training into a single pipeline. It uses the SFTTrainer as a base and adds DPO loss to the objective. The DPOTrainer in TRL is:

```python
from trl import DPOTrainer, SFTTrainer

trainer = DPOTrainer(
    model=model,
",2,0.6667
p29,What does device_map='auto' do?,unknown,SimPO (Llama-3.1-8B),"device_map='auto' automatically assigns each model parameter to the most available GPU(s) in the batch. This simplifies training with variable batch sizes and multiple GPUs. Without it, you need to manually specify GPU IDs for each GPU in the batch. For a production serving model, it's usually set t",2,0.6667
p30,What is the purpose of the attention_mask?,unknown,SimPO (Llama-3.1-8B),"attention_mask prevents the model from attending to positions that should not contribute tokens (padding). It's a binary tensor where 1 indicates a token should be processed and 0 indicates padding. In SFT, attention_mask=1 for the generated tokens and 0 for the prompt tokens. Missing attention_mask",2,0.6667
p31,What is RoPE?,unknown,SimPO (Llama-3.1-8B),"RoPE (Reward Optimization using Perpendicular Updates) is a reward optimization method that updates the model in the direction of its gradient, not its normalized gradient. It eliminates the need for normalization constants and can be more stable than standard Adam.",0,0.0
p32,What is GQA (Grouped Query Attention)?,unknown,SimPO (Llama-3.1-8B),GQA (Grouped Query Attention) is a grouping technique that separates attention queries into groups based on the context position. This reduces attention padding waste and memory overhead. It is commonly used in LLMs to improve inference throughput.,2,0.6667
p33,What is SwiGLU?,unknown,SimPO (Llama-3.1-8B),"SwiGLU (SwisGLU) is a lightweight, open-source adapter implementation that reduces GPU memory usage by storing only the activation patterns instead of full attention matrices. It is commonly used in LLM inference pipelines to save memory at the cost of slightly reduced accuracy.",1,0.3333
p34,What is RMSNorm?,unknown,SimPO (Llama-3.1-8B),"RMSNorm (Root Mean Square Normalization) is a normalization technique that normalizes weights by their moving standard deviation rather than the fixed max norm. It reduces vanishing gradient issues during training. The standard form in LLMs: weight = weight / (norm(weight) / omega), where omega is t",2,0.6667
p35,What is the KV-cache?,unknown,SimPO (Llama-3.1-8B),"KV-cache (key-value cache) is a memory optimization storing recently computed key and value pairs. It speeds up autoregressive generation by reducing forward passes. In a production serving setup, it helps you reason about model quality, training stability, memory usage, or deployment behavior inste",3,1.0
p36,What is speculative decoding?,unknown,SimPO (Llama-3.1-8B),speculative decoding (speculative decoding) is generating multiple steps simultaneously instead of sequentially. It reduces inference latency by 2-5x on supported models.,2,0.6667
p37,What is tensor parallelism?,unknown,SimPO (Llama-3.1-8B),"tensor parallelism (tensor parallelism) is distributing a single GPU tensor across multiple GPU cores or vCPUs with different initial values. Each core computes a different sub-tensor, then synchronizes at each layer to combine results. It scales model size linearly without requiring multiple GPUs.",1,0.3333
p38,What is the Bradley-Terry model?,unknown,SimPO (Llama-3.1-8B),"The Bradley-Terry model is a binary choice model that estimates relative strengths between pairs of alternatives. It's commonly used in pairwise comparison settings (e.g., chat model comparisons). The model has two parameters per choice: θ_i (strength) and σ^2 (variance). The probability of choosing",2,0.6667
p39,What is reward hacking?,unknown,SimPO (Llama-3.1-8B),"Reward hacking (reward hacking) is manipulating the reward model to produce desired behavior without proper instruction. Common hacks include: (1) Padding tokens, (2) Loosely defined reward functions, (3) Reward model bias towards chosen responses, (4) Overfitting to training data patterns. Effectiv",3,1.0
p40,What is the implicit reward in DPO?,unknown,SimPO (Llama-3.1-8B),"DPO doesn't explicitly compute a reward signal (it's reward-free). Instead, the implicit reward comes from the preference boundary: the policy is chosen if it has higher cumulative reward than the reference model on the chosen samples. The implicit reward is implicitly encoded in the preference boun",3,1.0
p41,What is double quantization in QLoRA?,unknown,SimPO (Llama-3.1-8B),"Double quantization in QLoRA quantizes the quantization constants themselves to 4-bit, reducing memory usage by another factor of 4. It's one of the memory-saving techniques in LoRA.",2,0.6667
p42,What is the purpose of prepare_model_for_kbit_training?,unknown,SimPO (Llama-3.1-8B),"prepare_model_for_kbit_training converts a 7-bit quantized model into 8-bit format required by many KBT training pipelines. The model's weights must be in 8-bit FP8 format for most KBT training frameworks (QLoRA, LoraTune, LoRA) and inference engines (QLoRA, LoRA-8). The function scales weights from",1,0.3333
p43,What is NEFTune?,unknown,SimPO (Llama-3.1-8B),"NEFTune (NEFTune) is a parameter-tuning method that optimizes the learning rate spectrum rather than a single value. It combines learning rate schedules like cosine, step, and constant with noise injection for diversity. Implementation details matter — it's often more effective than manual tuning.",1,0.3333
p44,What is sequence packing in SFT?,unknown,SimPO (Llama-3.1-8B),"Sequence packing (sequence packing) is batching multiple short examples together to match GPU sequence group sizes. In SFT, it's essential because each example needs a separate attention mask. For 4-bit models on 4x4 grouping: 4 examples * 4 tokens * 4 bits = 64 tokens. Without packing, each example",2,0.6667
p45,What is loss masking in SFT?,unknown,SimPO (Llama-3.1-8B),"Loss masking prevents the model from learning to generate padding tokens. In a sequence-paired dataset, each example has two tokens: one chosen by the student and one generated by the teacher. Masked labels are -100 for student tokens and the actual label for teacher tokens. This ensures the model l",3,1.0
p46,What is the difference between online and offline DPO?,unknown,SimPO (Llama-3.1-8B),Offline DPO trains on a fixed preference dataset and optimizes the policy to minimize the average reward across all examples. The policy learns from the entire dataset simultaneously. Online DPO (also called SFT) updates the policy incrementally as new preference pairs are generated. It's more effic,3,1.0
